Metric,Bias,Bias,Bias,Bias,RMSE,RMSE,RMSE,RMSE,CRPS,CRPS,CRPS,CRPS,SCRPS,SCRPS,SCRPS,SCRPS
Model,AnEn,A2E,CA2E,SA2E,AnEn,A2E,CA2E,SA2E,AnEn,A2E,CA2E,SA2E,AnEn,A2E,CA2E,SA2E
Location_49,-0.0819998905062675,-0.0223116409033536,-0.0124883651733398,-0.01904119923710823,0.8166993260383606,0.819015622138977,0.8186931610107422,0.7780410647392273,0.35191810131073,0.3352905511856079,0.3221412003040313,0.33165380358695984,0.8164966702461243,0.7974273562431335,0.7706650495529175,0.7904372811317444
Location_50,-0.0760998502373695,0.0026733700651675,0.0079199215397238,-0.029344046488404274,0.7881989479064941,0.8098595142364502,0.8020371794700623,0.7111890316009521,0.3269636034965515,0.3182404041290283,0.3075093030929565,0.3076726496219635,0.7814575433731079,0.7750460505485535,0.7521731853485107,0.7576102018356323
Location_51,0.1439935863018036,0.0966129824519157,0.0585340969264507,0.07608245313167572,0.7152566313743591,0.7519608736038208,0.7657638788223267,0.6970224976539612,0.3010469079017639,0.3000218868255615,0.2940876185894012,0.3063780665397644,0.7410191297531128,0.74310302734375,0.7276401519775391,0.7549078464508057
Location_52,-0.0994894057512283,-0.0193338263779878,-0.0057686064392328,-0.04795374721288681,0.8454222083091736,0.8562410473823547,0.8386839032173157,0.7959863543510437,0.3745636940002441,0.3546946942806244,0.3384763896465301,0.35048067569732666,0.8499528169631958,0.8253880739212036,0.797484278678894,0.8219215273857117
Location_53,-0.1299998164176941,-0.046644952148199,-0.0053328466601669,-0.06617927551269531,0.7243430614471436,0.7640547752380371,0.7473557591438293,0.7132480144500732,0.3074150681495666,0.2893579006195068,0.28255295753479,0.2890550494194031,0.7497351169586182,0.7267663478851318,0.7083571553230286,0.7206258177757263
Location_54,0.1298632621765136,0.089726485311985,0.0464660935103893,0.0482650101184845,0.8511481285095215,0.872873067855835,0.9077407121658324,0.7426360845565796,0.3449046611785888,0.3262572884559631,0.3254218399524688,0.30361440777778625,0.8064389824867249,0.7880088686943054,0.786304771900177,0.7472746968269348
Location_55,0.0851235911250114,0.083057053387165,0.0766499117016792,0.028814122080802917,0.8002808094024658,0.797378659248352,0.7895709276199341,0.7459349036216736,0.3211669921875,0.309271365404129,0.2940963208675384,0.30438679456710815,0.7725120782852173,0.7604884505271912,0.7326461672782898,0.7496851086616516
Location_56,-0.1735173910856247,-0.0475541092455387,-0.0390033423900604,-0.10121214389801025,0.7456485033035278,0.7311882972717285,0.7228050827980042,0.6937955021858215,0.3198850154876709,0.2872216701507568,0.279548168182373,0.2854108214378357,0.7611300945281982,0.720228374004364,0.6999122500419617,0.7164448499679565
Location_57,0.0099603375419974,0.0404228456318378,0.0253831520676612,0.0529080294072628,0.6997780799865723,0.722203254699707,0.7094789147377014,0.6467910408973694,0.280250072479248,0.2799484431743622,0.2670080959796905,0.2711349129676819,0.70751953125,0.7117589712142944,0.6829946041107178,0.6957889795303345
Location_58,0.0412887074053287,0.0557452365756034,0.0597006529569625,0.09694946557283401,0.885566771030426,0.9238767623901368,0.9327055215835572,0.8538300395011902,0.3633326888084411,0.3638880550861358,0.3562151193618774,0.36423757672309875,0.8332743048667908,0.8360302448272705,0.8261170983314514,0.8402827382087708
Location_59,-0.0882696583867073,-0.0025284017901867,0.0168037079274654,0.027708258479833603,0.6917315721511841,0.7132732272148132,0.7119175791740417,0.6525418162345886,0.2914665341377258,0.2807666063308716,0.2724902629852295,0.27243709564208984,0.7216361165046692,0.708920955657959,0.6874317526817322,0.6943928003311157
Location_60,0.0561785772442817,0.0630042180418968,0.062730073928833,0.04057959094643593,0.8030505776405334,0.8393468856811523,0.8551235198974609,0.7462237477302551,0.3399712145328522,0.3370587229728699,0.3365125358104706,0.32677578926086426,0.7988611459732056,0.802505612373352,0.7954927086830139,0.7866665124893188
Location_61,-0.0262088291347026,0.0113693717867136,0.0291022416204214,0.030017856508493423,0.8030323386192322,0.8330714106559753,0.8162804245948792,0.7561470866203308,0.339839220046997,0.3329570591449737,0.3202261328697204,0.32925376296043396,0.7986071109771729,0.7930686473846436,0.7695131301879883,0.7880731225013733
Location_62,-0.0068450984545052,0.0172714293003082,0.0212912168353796,0.010277042165398598,0.7928112149238586,0.8160979747772217,0.8011605739593506,0.7628780603408813,0.3322872817516327,0.3225417137145996,0.3119404911994934,0.3216099143028259,0.7928388118743896,0.7811250686645508,0.7597875595092773,0.7798708081245422
Location_63,-0.1328954994678497,-0.0274981912225484,-0.0326135940849781,0.0010532340966165066,0.7181064486503601,0.710059404373169,0.7081426978111267,0.6665671467781067,0.308109700679779,0.2858807742595672,0.2772412002086639,0.27806612849235535,0.7480648756027222,0.7183250784873962,0.6958174705505371,0.7056379318237305
Location_64,-0.1678583920001983,-0.0673158019781112,-0.0480080097913742,-0.11394333094358444,0.8005006313323975,0.8032709956169128,0.7823399901390076,0.7412024736404419,0.357278436422348,0.3308622241020202,0.3118764460086822,0.33104419708251953,0.8236048817634583,0.7901850342750549,0.7527924180030823,0.7942497134208679
Location_65,0.135732814669609,0.1267347037792205,0.1189191117882728,0.1587340533733368,0.8310057520866394,0.8635852336883545,0.8713923692703247,0.8132951259613037,0.3521957695484161,0.3453719019889831,0.3365510106086731,0.34446123242378235,0.8167315125465393,0.8136524558067322,0.7989386916160583,0.8146143555641174
Location_66,0.1236660704016685,0.0616129525005817,0.0472191870212554,0.056762874126434326,0.7942947745323181,0.8225184082984924,0.8660576343536377,0.7469055652618408,0.3172892928123474,0.3076550960540771,0.3119755983352661,0.31926414370536804,0.7621889114379883,0.757804811000824,0.7611685395240784,0.7678189277648926
Location_67,-0.0518200956284999,0.0187501851469278,0.012344067916274,0.017677078023552895,0.7752825617790222,0.8075312972068787,0.7765340805053711,0.745597243309021,0.3259027898311615,0.3203181326389313,0.303639143705368,0.31458166241645813,0.7788573503494263,0.7762207984924316,0.7469828724861145,0.7665620446205139
Location_68,0.0684767886996269,0.0674280747771263,0.1075300574302673,0.0768141970038414,0.5989684462547302,0.596864640712738,0.6641566157341003,0.5448490381240845,0.2566936910152435,0.2479671835899353,0.2872040867805481,0.24555906653404236,0.6570597290992737,0.6394089460372925,0.7192602157592773,0.6396985650062561
Location_69,-0.1053809523582458,0.0026659232098609,0.0164897050708532,0.05065623298287392,0.7964673042297363,0.8157225251197815,0.8113986253738403,0.7616946697235107,0.3465988934040069,0.3320093154907226,0.3228049278259277,0.3274383246898651,0.8090533018112183,0.7914921641349792,0.7715585827827454,0.784241795539856
Location_70,0.0189682319760322,0.0728618428111076,0.053698681294918,0.05568950995802879,0.8530778884887695,0.8692848086357117,0.8819571733474731,0.7327737212181091,0.3681198060512543,0.3450645804405212,0.3464851081371307,0.3262665271759033,0.8316648006439209,0.8077625632286072,0.8054499626159668,0.7873709201812744
Location_71,-0.0583450719714164,0.0191229693591594,-0.0086690755560994,0.025324752554297447,0.895759105682373,0.9295750260353088,0.930869460105896,0.8683516383171082,0.374439388513565,0.3691955506801605,0.3568949997425079,0.3686804473400116,0.852866530418396,0.8485023379325867,0.8289311528205872,0.8466367721557617
Location_72,0.1073790490627288,0.0375061519443988,0.0982880294322967,0.14682532846927643,1.0952231884002686,1.14909029006958,1.246290922164917,1.0841314792633057,0.4348175525665283,0.4268275201320648,0.4504684805870056,0.4362795948982239,0.9230375289916992,0.9227548837661744,0.9448528289794922,0.930377721786499
Location_73,-0.0260111801326274,0.0038264275062829,0.0127213224768638,-0.05006500333547592,0.6882352828979492,0.71612548828125,0.7048882842063904,0.6598724126815796,0.2801295816898346,0.2801250219345093,0.2668428719043731,0.279752254486084,0.7056348323822021,0.7103257179260254,0.6796088814735413,0.7083636522293091
Location_74,0.1820218712091446,0.1353667080402374,0.1390563994646072,0.17671912908554077,0.8880679607391357,0.9341617822647096,0.9800332188606262,0.8348550200462341,0.3835318386554718,0.3784438371658325,0.3817095756530761,0.35717278718948364,0.8586317896842957,0.8574538826942444,0.8555931448936462,0.8270703554153442
Location_75,0.0763628557324409,0.0938927009701728,0.0716834068298339,0.11166876554489136,0.8210652470588684,0.8696326017379761,0.859204113483429,0.7858644723892212,0.341558575630188,0.3416006863117218,0.3326687812805176,0.3250974714756012,0.8051739931106567,0.8110710978507996,0.7921634912490845,0.7821351289749146
Location_76,-0.028473088517785,0.0066065592691302,0.0026396051980555,-0.014391019940376282,0.7018988132476807,0.723003089427948,0.7037147283554077,0.6483482718467712,0.2863934934139251,0.2848436534404754,0.2712430655956268,0.27649110555648804,0.7130011320114136,0.7152385115623474,0.6848006844520569,0.7036449909210205
Location_77,-0.0137204984202981,0.025195624679327,-0.0306425858289003,-0.006595929618924856,0.8434790968894958,0.8166301846504211,0.9545049071311952,0.7432323098182678,0.3708408772945404,0.3307205140590668,0.3930288553237915,0.3275960385799408,0.8432074189186096,0.7835923433303833,0.870759904384613,0.785899817943573
Location_78,0.0405900962650775,0.0355054885149002,0.0511496104300022,0.008466269820928574,0.9605847001075744,0.9745423197746276,0.9925938248634338,0.934910774230957,0.3734712302684784,0.3654167354106903,0.3486594557762146,0.36103036999702454,0.853490948677063,0.8485763072967529,0.828575074672699,0.8378691673278809
Location_79,0.0066405246034264,0.0132470335811376,0.0619574077427387,-0.003052127081900835,0.8699857592582703,0.8769392967224121,0.9053943753242492,0.8437195420265198,0.3648755848407745,0.3597123622894287,0.3609938025474548,0.35969576239585876,0.837356686592102,0.8324487805366516,0.8312724232673645,0.8378536701202393
Location_80,-0.0142794968560338,0.0191144719719886,0.0340319126844406,-0.03278088569641113,0.7359991669654846,0.7518747448921204,0.7390815615653992,0.7002615332603455,0.3053290545940399,0.3016840517520904,0.2892355620861053,0.3007841408252716,0.7500002384185791,0.7459515333175659,0.7178773880004883,0.7449215650558472
Location_81,-0.1262121498584747,-0.0604631900787353,0.0086547164246439,-0.02241387404501438,0.7700045704841614,0.790686845779419,0.7564588785171509,0.7023330926895142,0.336670458316803,0.3225486278533935,0.3012409806251526,0.31818652153015137,0.7974488735198975,0.7768867015838623,0.7366442084312439,0.7820634245872498
